# cli-gate baseline — generated by x3d_cli_gate --write-baseline
# validate: 40/200 agree  convert: 160/160 pass
check_key	result
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/5/newport27-16.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/5/newport27-16.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/5/newport29-29.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/5/newport29-29.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/5/newport31-6.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/5/newport31-6.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/5/newport5-28.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/5/newport5-28.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/5/newport8-13.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/5/newport8-13.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport0-28.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport0-28.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport1-46.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport1-46.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport10-42.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport10-42.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport11-51.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport11-51.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport12-56.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport12-56.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport13-5.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport13-5.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport15-8.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport15-8.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport17-16.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport17-16.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport18-2.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport18-2.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport19-43.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport19-43.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport2-29.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport2-29.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport2-61.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport2-61.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport20-57.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport20-57.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport21-6.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport21-6.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport24-10.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport24-10.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport25-15.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport25-15.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport27-30.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport27-30.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport28-44.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport28-44.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport29-58.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport29-58.x3d:xml->vrml	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport31-11.x3d:xml->json	PASS
convert:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/NarragansettBayRhodeIslandBathymetry/tiles/6/newport31-11.x3d:xml->vrml	PASS
validate:x3d-code/www.web3d.org/x3d/content/examples/Basic/CAD/CadDesignPatternExampleBushing.x3d	PASS
validate:x3d-code/www.web3d.org/x3d/content/examples/Basic/DistributedInteractiveSimulation/NetworkedCamera.x3d	PASS
validate:x3d-code/www.web3d.org/x3d/content/examples/Basic/Geospatial/MarsLOD017.x3d	PASS
validate:x3d-code/www.web3d.org/x3d/content/examples/Basic/Geospatial/SriCampus038.x3d	PASS
validate:x3d-code/www.web3d.org/x3d/content/examples/Basic/Geospatial/SriCampus118.x3d	PASS
validate:x3d-code/www.web3d.org/x3d/content/examples/Basic/Medical/BonesRightFoot.x3d	FAIL
validate:x3d-code/www.web3d.org/x3d/content/examples/Basic/Security/HelloWorldSignedDecrypted.x3d	PASS
validate:x3d-code/www.web3d.org/x3d/content/examples/Basic/UniversalMediaMaterials/SummerExamples.x3d	FAIL
validate:x3d-code/www.web3d.org/x3d/content/examples/Basic/Web3dOutreach/X3d4Cube.x3d	PASS
validate:x3d-code/www.web3d.org/x3d/content/examples/Basic/development/Geometry2dComponentExternProtos.x3d	PASS
validate:x3d-code/www.web3d.org/x3d/content/examples/ConformanceNist/Appearance/ImageTexture/greyscale_jpg_diffuseColor.x3d	PASS
validate:x3d-code/www.web3d.org/x3d/content/examples/ConformanceNist/Appearance/MovieTexture/stopltstartlooptrue.x3d	PASS
validate:x3d-code/www.web3d.org/x3d/content/examples/ConformanceNist/BindableNodes/Background/set_skycolor2.x3d	PASS
validate:x3d-code/www.web3d.org/x3d/content/examples/ConformanceNist/GeometricProperties/Color/pointset_color_first.x3d	PASS
validate:x3d-code/www.web3d.org/x3d/content/examples/ConformanceNist/Geometry/Extrusion/test_texture.x3d	PASS
validate:x3d-code/www.web3d.org/x3d/content/examples/ConformanceNist/GroupingNodes/Collision/proxynochildren.x3d	FAIL
validate:x3d-code/www.web3d.org/x3d/content/examples/ConformanceNist/Lights/DirectionalLight/test_intensitysim.x3d	FAIL
validate:x3d-code/www.web3d.org/x3d/content/examples/ConformanceNist/Miscellaneous/Script/ScriptNodeFieldControl_EcmaScript.x3d	PASS
validate:x3d-code/www.web3d.org/x3d/content/examples/ConformanceNist/STEP/CTC05/NistCtc05Asme1Ap203Occ.x3d	PASS
validate:x3d-code/www.web3d.org/x3d/content/examples/ConformanceNist/Sensors/VisibilitySensor/centersize.x3d	PASS
validate:x3d-code/www.web3d.org/x3d/content/examples/HumanoidAnimation/FacialAnimation/originals/FACS_AU1(Jin)_Inner_Brow_Raiser_Morpher.x3d	FAIL
validate:x3d-code/www.web3d.org/x3d/content/examples/HumanoidAnimation/Medical/originals/head.x3d	FAIL
validate:x3d-code/www.web3d.org/x3d/content/examples/HumanoidAnimation/WinterAndSpring/originals/FlowerGardens.x3d	FAIL
validate:x3d-code/www.web3d.org/x3d/content/examples/Savage/AircraftFixedWing/F18BlueAngelUnitedStates/BlueAngelF18StandAlone.x3d	PASS
validate:x3d-code/www.web3d.org/x3d/content/examples/Savage/AircraftHelicopters/HelicopterUnitedStates/SightGauge.x3d	PASS
validate:x3d-code/www.web3d.org/x3d/content/examples/Savage/AmphibiousVehicles/AAV/Chassis.x3d	PASS
validate:x3d-code/www.web3d.org/x3d/content/examples/Savage/Buildings/HouseBarisAktop/Tree.x3d	PASS
validate:x3d-code/www.web3d.org/x3d/content/examples/Savage/CommunicationsAndSensors/HalfDome/DomeGreen.x3d	PASS
validate:x3d-code/www.web3d.org/x3d/content/examples/Savage/GroundVehicles/HMMWV/AutomotiveTire.x3d	PASS
validate:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/BaltimoreMaryland/Baltimore.x3d	PASS
validate:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/Bosphorus/tiles/3/bosphorus5-2.x3d	FAIL
validate:x3d-code/www.web3d.org/x3d/content/examples/Savage/Locations/Bosphorus/tiles/4/bosphorus12-11.x3d	FAIL
